Symbol,Date,LTP,High,Low,Open,Quantity,Turnover
AVU,2006/02/09,58.0,58.0,58.0,58.0,20.0,1160.0
AVU,2005/12/14,58.0,58.0,58.0,60.0,50.0,2900.0
AVU,2005/08/07,60.0,60.0,60.0,58.0,35.0,2100.0
AVU,2005/07/04,58.0,58.0,58.0,58.0,10.0,580.0
AVU,2005/06/15,58.0,58.0,58.0,56.0,50.0,2900.0
AVU,2005/06/02,56.0,56.0,56.0,56.0,145.0,8120.0
AVU,2004/09/24,56.0,56.0,56.0,58.0,10.0,560.0
AVU,2004/09/15,58.0,58.0,58.0,58.0,25.0,1450.0
AVU,2004/04/01,58.0,58.0,58.0,60.0,10.0,580.0
AVU,2004/03/15,60.0,60.0,60.0,60.0,80.0,4800.0
AVU,2003/11/19,60.0,60.0,60.0,60.0,10.0,600.0
